filepath,label,label_id
data/dataset_filtered\Potato___Early_blight\abb9a8c4-5d0f-443a-b7c9-780036ffe76c___RS_Early.B_7380.jpg,Potato___Early_blight,23
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\494fb42c-a660-4bf6-ac9d-b5feaa0d6ec5___UF.GRC_YLCV_Lab_01795.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Soybean__caterpillar\caterpillar_(1180).jpg,Soybean__caterpillar,28
data/dataset_filtered\Corn___Common_Rust\image_(686).jpg,Corn___Common_Rust,7
data/dataset_filtered\Tomato_Early_blight\60b089ee-97ea-4df8-bb95-cd8c2094b24e___RS_Erly.B_9426.jpg,Tomato_Early_blight,35
data/dataset_filtered\Cucumber__healthy\IMG20200629183255.jpg,Cucumber__healthy,10
data/dataset_filtered\Tomato__healthy\freshTomato_(258).jpg,Tomato__healthy,42
data/dataset_filtered\Orange__Rotten\rottenOrange_(298).jpg,Orange__Rotten,18
data/dataset_filtered\Grape__healthy\8c5181ab-8b06-41a8-9b26-b3be052dcea1___Mt.N.V_HL_8905.jpg,Grape__healthy,13
data/dataset_filtered\Strawberry__healthy\freshStrawberry_(42).jpg,Strawberry__healthy,33
data/dataset_filtered\Apple__Rotten\rotated_by_30_Screen_Shot_2018-06-07_at_3.05.58_PM.png,Apple__Rotten,1
data/dataset_filtered\Rice___Healthy\IMG_20190419_145037.jpg,Rice___Healthy,25
data/dataset_filtered\Mango__healthy\0001_0044.jpg,Mango__healthy,16
data/dataset_filtered\Tomato__target_spot\0a578317-a98b-4e26-b17b-cd2930330375___Com.G_TgS_FL_0785.jpg,Tomato__target_spot,45
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(285).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Wheat___Healthy\Healthy267.jpg,Wheat___Healthy,48
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\1e06dafa-f977-4354-992e-3271f34a2344___Com.G_SpM_FL_9601.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Potato___Late_Blight\b402845e-5414-423e-9f6d-29e3bdbb505b___RS_LB_2825.jpg,Potato___Late_Blight,24
data/dataset_filtered\Soybean__caterpillar\caterpillar_(3195).jpg,Soybean__caterpillar,28
data/dataset_filtered\Cherry__powdery_mildew\ef4c52e5-d7d8-4996-b445-42478df2c353___FREC_Pwd.M_0584.jpg,Cherry__powdery_mildew,6
data/dataset_filtered\Apple__scab\656265b3-9f9a-4a20-83f5-e5d6be938dcd___FREC_Scab_3454.jpg,Apple__scab,2
data/dataset_filtered\Mango__healthy\healthy_013.jpg,Mango__healthy,16
data/dataset_filtered\Soybean__healthy\c8d5c862-8165-40e9-890f-bb7dda92143b___RS_HL_5771.jpg,Soybean__healthy,30
data/dataset_filtered\Rice___Neck_Blast\IMG20201109210752_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Tomato_Bacterial_spot\ef71eeaa-1a9c-41f6-8cbe-394a441b3f0c___GCREC_Bact.Sp_3507.jpg,Tomato_Bacterial_spot,34
data/dataset_filtered\Mango__healthy\226.jpg,Mango__healthy,16
data/dataset_filtered\Pepper__bell___Bacterial_spot\01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot_9091.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Corn___Healthy\image_(502).jpg,Corn___Healthy,8
data/dataset_filtered\Banana__Rotten\rotated_by_30_Screen_Shot_2018-06-12_at_9.03.51_PM.png,Banana__Rotten,4
data/dataset_filtered\Orange__Healthy\rotated_by_45_Screen_Shot_2018-06-12_at_11.54.20_PM.png,Orange__Healthy,17
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\0ac9558f-1e02-4498-9584-887627587bc0___Com.G_SpM_FL_1148.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Apple__Healthy\FreshApple_(139).jpg,Apple__Healthy,0
data/dataset_filtered\Strawberry__healthy\416.jpg,Strawberry__healthy,33
data/dataset_filtered\Tomato__healthy\freshTomato_(87).png,Tomato__healthy,42
data/dataset_filtered\Grape__healthy\FreshGrape_(95).jpg,Grape__healthy,13
data/dataset_filtered\Pepper__bell___Bacterial_spot\9c177d44-9a9a-42b3-8107-6ce88f258d28___JR_B.Spot_9043.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Apple__scab\37659856-0fc8-430b-871a-af4f0b557e49___FREC_Scab_3081.jpg,Apple__scab,2
data/dataset_filtered\Pepper__bell___healthy\0c002246-262c-46d7-9995-bd1e1b2737d9___JR_HL_7969.jpg,Pepper__bell___healthy,21
data/dataset_filtered\Soybean__healthy\healthy_(23).jpg,Soybean__healthy,30
data/dataset_filtered\Soybean__caterpillar\caterpillar_(129).jpg,Soybean__caterpillar,28
data/dataset_filtered\Grape__healthy\8179c42d-d99e-4b17-be8d-fb51cda087a4___Mt.N.V_HL_8920.jpg,Grape__healthy,13
data/dataset_filtered\Grape__healthy\f6bca207-2928-4753-b867-ec5f25361334___Mt.N.V_HL_9113.jpg,Grape__healthy,13
data/dataset_filtered\Strawberry__Rotten\621.jpg,Strawberry__Rotten,31
data/dataset_filtered\Strawberry__healthy\5d541b79-2861-493a-b121-c4f0a60be3d2___RS_HL_4607.jpg,Strawberry__healthy,33
data/dataset_filtered\Potato___Early_blight\1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B_6879.jpg,Potato___Early_blight,23
data/dataset_filtered\Wheat___Healthy\Healthy563.jpg,Wheat___Healthy,48
data/dataset_filtered\Potato__Healthy\4ae82355-6885-40e7-9807-dabe46ed3441___RS_HL_5410.jpg,Potato__Healthy,22
data/dataset_filtered\Tomato__target_spot\e09f19dd-e998-4d13-a09f-1012295dbecc___Com.G_TgS_FL_7952.jpg,Tomato__target_spot,45
data/dataset_filtered\Cherry__healthy\b6a8a1a7-2222-497c-b892-87d8085ab675___JR_HL_9485.jpg,Cherry__healthy,5
data/dataset_filtered\Strawberry__healthy\7e0587c2-c806-4e7c-a3d6-53b810de904d___RS_HL_4748.jpg,Strawberry__healthy,33
data/dataset_filtered\Tomato__septoria_leaf_spot\184031fe-22fe-479d-bb2d-9bb7122d60a9___Matt.S_CG_0881.jpg,Tomato__septoria_leaf_spot,44
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\74a30a70-3a7b-4ac7-b7fc-26abcd3c8ccd___YLCV_NREC_2844.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Soybean__caterpillar\caterpillar_(412).jpg,Soybean__caterpillar,28
data/dataset_filtered\Orange__Rotten\rottenOrange_(9).jpg,Orange__Rotten,18
data/dataset_filtered\Apple__Healthy\ddbfa011-a5f6-449d-a327-b169fb547136___RS_HL_6306.jpg,Apple__Healthy,0
data/dataset_filtered\Potato___Late_Blight\974344ba-438f-4190-b71c-875924190fdc___RS_LB_3866.jpg,Potato___Late_Blight,24
data/dataset_filtered\Cherry__healthy\dda5f71c-7578-40a6-a492-dd64e6a812b7___JR_HL_4035.jpg,Cherry__healthy,5
data/dataset_filtered\Wheat___Healthy\Healthy400.jpg,Wheat___Healthy,48
data/dataset_filtered\Mango__healthy\freshMango_(106).jpg,Mango__healthy,16
data/dataset_filtered\Corn___Northern_Leaf_Blight\image_(606).jpg,Corn___Northern_Leaf_Blight,9
data/dataset_filtered\Potato___Early_blight\51e028c1-7aec-46e9-a389-391bc38b46f3___RS_Early.B_8505.jpg,Potato___Early_blight,23
data/dataset_filtered\Apple__Rotten\rottenApple_(126).jpg,Apple__Rotten,1
data/dataset_filtered\Strawberry___leaf_scorch\c29a0891-d843-4861-8e09-47e4405d1176___RS_L.Scorch_1417.jpg,Strawberry___leaf_scorch,32
data/dataset_filtered\Strawberry__healthy\freshStrawberry_(566).jpg,Strawberry__healthy,33
data/dataset_filtered\Corn___Common_Rust\image_(444).jpg,Corn___Common_Rust,7
data/dataset_filtered\Strawberry__healthy\6419aea0-0a20-4ec6-bda4-5fcdda4eadd8___RS_HL_1930.jpg,Strawberry__healthy,33
data/dataset_filtered\Mango__Rotten\lasio_012.jpg,Mango__Rotten,15
data/dataset_filtered\Corn___Common_Rust\image_(815).jpg,Corn___Common_Rust,7
data/dataset_filtered\Strawberry__Rotten\415.jpg,Strawberry__Rotten,31
data/dataset_filtered\Tomato_Early_blight\5c498e4e-e9b8-4380-828e-53dfd9beb683___RS_Erly.B_7788.jpg,Tomato_Early_blight,35
data/dataset_filtered\Tomato_Leaf_Mold\8be2ecaa-d9f8-454d-89c4-5b5489fbc2df___Crnl_L.Mold_7172.jpg,Tomato_Leaf_Mold,37
data/dataset_filtered\Tomato__late_blight\fd26b445-5839-4337-858c-a91dfdd812cc___GHLB2_Leaf_8743.jpg,Tomato__late_blight,43
data/dataset_filtered\Cucumber__healthy\freshCucumber_(274).jpg,Cucumber__healthy,10
data/dataset_filtered\Wheat___Brown_Rust\Brown_rust237.jpg,Wheat___Brown_Rust,47
data/dataset_filtered\Strawberry__healthy\freshStrawberry_(157).jpg,Strawberry__healthy,33
data/dataset_filtered\Soybean__caterpillar\caterpillar_(584).jpg,Soybean__caterpillar,28
data/dataset_filtered\Corn___Common_Rust\image_(190).jpg,Corn___Common_Rust,7
data/dataset_filtered\Corn___Common_Rust\image_(338).jpg,Corn___Common_Rust,7
data/dataset_filtered\Strawberry__Rotten\rottenStrawberry_(125).jpg,Strawberry__Rotten,31
data/dataset_filtered\Corn___Common_Rust\image_(210).jpg,Corn___Common_Rust,7
data/dataset_filtered\Soybean__caterpillar\caterpillar_(494).jpg,Soybean__caterpillar,28
data/dataset_filtered\Strawberry__Rotten\657.jpg,Strawberry__Rotten,31
data/dataset_filtered\Tomato_Septoria_leaf_spot\0aa486df-97b6-4764-89a9-d193e16aabbb___Keller.St_CG_1931.jpg,Tomato_Septoria_leaf_spot,38
data/dataset_filtered\Apple__Healthy\edf2aa3e-8736-4931-99dc-4a05252526b6___RS_HL_7710.jpg,Apple__Healthy,0
data/dataset_filtered\Corn___Healthy\image_(265).jpg,Corn___Healthy,8
data/dataset_filtered\Tomato__healthy\freshTomato_(80).png,Tomato__healthy,42
data/dataset_filtered\Grape__leaf_blight_(isariopsis_leaf_spot)\28d02209-b7f5-4404-b083-54c359c99022___FAM_L.Blight_1708.jpg,Grape__leaf_blight_(isariopsis_leaf_spot),14
data/dataset_filtered\Potato___Late_Blight\7c0ff85c-0a94-4ba3-9abf-010ba81a4780___RS_LB_4003.jpg,Potato___Late_Blight,24
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust170.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Orange__Rotten\rotated_by_30_Screen_Shot_2018-06-12_at_11.37.45_PM.png,Orange__Rotten,18
data/dataset_filtered\Apple__Healthy\freshApple_(528).png,Apple__Healthy,0
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust683.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Cherry__healthy\3e01a27d-037d-4bf8-81ee-c2ee958ebfec___JR_HL_9615.jpg,Cherry__healthy,5
data/dataset_filtered\Strawberry__healthy\755.jpg,Strawberry__healthy,33
data/dataset_filtered\Apple__Healthy\freshApple_(540).png,Apple__Healthy,0
data/dataset_filtered\Grape__black_measles\7b179702-2225-4942-8ef9-6acb6e80a373___FAM_B.Msls_4052.jpg,Grape__black_measles,11
data/dataset_filtered\Cucumber__healthy\photo_2020-06-28_00-10-35.jpg,Cucumber__healthy,10
data/dataset_filtered\Mango__healthy\freshMango_(158).jpg,Mango__healthy,16
data/dataset_filtered\Banana__Rotten\saltandpepper_Screen_Shot_2018-06-12_at_9.08.26_PM.png,Banana__Rotten,4
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\08166dc1-9f39-4086-bcc9-f0dc0f0e85a6___UF.GRC_YLCV_Lab_02812.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Corn___Northern_Leaf_Blight\image_(154).jpg,Corn___Northern_Leaf_Blight,9
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust931.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Potato___Early_blight\8bcbd0ab-e530-4b6c-83a2-e0c649abbdaf___RS_Early.B_6676.jpg,Potato___Early_blight,23
data/dataset_filtered\Corn___Healthy\image_(323).jpg,Corn___Healthy,8
data/dataset_filtered\Tomato__target_spot\311559f0-d5ee-4542-8280-809d1d09e1ad___Com.G_TgS_FL_8099.jpg,Tomato__target_spot,45
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(386).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Orange__Healthy\translation_Screen_Shot_2018-06-13_at_12.07.05_AM.png,Orange__Healthy,17
data/dataset_filtered\Peach__bacterial_spot\9bd43ac8-76fe-4c5b-a7eb-10134ebed5c0___Rutg._Bact.S_1488.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Rice___Healthy\IMG_20190424_131811.jpg,Rice___Healthy,25
data/dataset_filtered\Tomato_Bacterial_spot\f16c8cc2-693b-4050-bbf6-686973becdad___GCREC_Bact.Sp_3780.jpg,Tomato_Bacterial_spot,34
data/dataset_filtered\Potato___Early_blight\dcc46f93-d842-496d-980b-4b29a00551d5___RS_Early.B_8424.jpg,Potato___Early_blight,23
data/dataset_filtered\Apple__Healthy\Screen_Shot_2018-06-08_at_5.19.35_PM.png,Apple__Healthy,0
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\150f2e9e-1317-492d-a926-3014853ea6de___UF.GRC_YLCV_Lab_03116.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Strawberry__healthy\93.jpg,Strawberry__healthy,33
data/dataset_filtered\Rice___Healthy\IMG_20190419_131600.jpg,Rice___Healthy,25
data/dataset_filtered\Strawberry___leaf_scorch\b9ac8104-7814-4500-bfe2-bb0a195de50d___RS_L.Scorch_0896.jpg,Strawberry___leaf_scorch,32
data/dataset_filtered\Apple__scab\Apple_Scab_Leaf_(3).jpg,Apple__scab,2
data/dataset_filtered\Grape__black_measles\ffc0847a-e88d-4332-8c7c-4b63ba65a471___FAM_B.Msls_1130.jpg,Grape__black_measles,11
data/dataset_filtered\Apple__scab\b19aef4d-ee91-4768-9520-8fdfee2578b4___FREC_Scab_3396.jpg,Apple__scab,2
data/dataset_filtered\Banana__Healthy\rotated_by_75_Screen_Shot_2018-06-12_at_9.42.29_PM.png,Banana__Healthy,3
data/dataset_filtered\Rice___Leaf_Blast\rb_wb_100.jpg,Rice___Leaf_Blast,26
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(832).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Soybean__healthy\d379cbb7-563a-4708-88e9-fae5d79ee15f___RS_HL_5445.jpg,Soybean__healthy,30
data/dataset_filtered\Grape__black_measles\375d0a8d-4722-41c2-afd1-1ae96eff47b1___FAM_B.Msls_1360.jpg,Grape__black_measles,11
data/dataset_filtered\Mango__healthy\freshMango_(330).jpg,Mango__healthy,16
data/dataset_filtered\Tomato__healthy\a1414092-da7c-4e7e-9b25-6fb76e07285b___RS_HL_0247.jpg,Tomato__healthy,42
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\412ee7f5-29de-4e75-85ee-2270610026d5___YLCV_GCREC_2278.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Orange__Healthy\rotated_by_60_Screen_Shot_2018-06-13_at_12.07.05_AM.png,Orange__Healthy,17
data/dataset_filtered\Rice___Healthy\IMG_3203.jpg,Rice___Healthy,25
data/dataset_filtered\Rice___Neck_Blast\IMG20201109213102_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Tomato_Septoria_leaf_spot\35733fa2-2d61-44a9-9c44-815e5b0e169e___Keller.St_CG_1793.jpg,Tomato_Septoria_leaf_spot,38
data/dataset_filtered\Tomato_Septoria_leaf_spot\97f800c6-092e-4983-abea-c02c1c64970e___Matt.S_CG_0710.jpg,Tomato_Septoria_leaf_spot,38
data/dataset_filtered\Tomato__healthy\freshTomato_(197).png,Tomato__healthy,42
data/dataset_filtered\Strawberry__Rotten\rottenStrawberry_(40).jpg,Strawberry__Rotten,31
data/dataset_filtered\Mango__Rotten\anthracnose_008.jpg,Mango__Rotten,15
data/dataset_filtered\Grape__black_measles\353723ef-2ce8-45a9-8082-16ec157c05b2___FAM_B.Msls_0923.jpg,Grape__black_measles,11
data/dataset_filtered\Tomato__healthy\ca050e4b-ec58-4b88-a1be-980e908b84d4___RS_HL_0567.jpg,Tomato__healthy,42
data/dataset_filtered\Tomato__late_blight\f8e2f06c-ffc4-426b-a7ad-300f6472fdcc___RS_Late.B_5238.jpg,Tomato__late_blight,43
data/dataset_filtered\Potato___Early_blight\aa342b8f-88f5-4d9d-9740-4b1b4147c590___RS_Early.B_7939.jpg,Potato___Early_blight,23
data/dataset_filtered\Pepper__bell___Bacterial_spot\a3736622-1bd1-4e57-8aa0-2b8ed898c2a4___NREC_B.Spot_9095.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Apple__Healthy\saltandpepper_Screen_Shot_2018-06-08_at_5.04.16_PM.png,Apple__Healthy,0
data/dataset_filtered\Grape__black_measles\e4f51f0b-69a3-4446-bf0f-2aba1d283196___FAM_B.Msls_0868.jpg,Grape__black_measles,11
data/dataset_filtered\Strawberry__Rotten\499.jpg,Strawberry__Rotten,31
data/dataset_filtered\Apple__Healthy\1d74d65a-039c-41d6-a459-13f946971ca1___RS_HL_7582.jpg,Apple__Healthy,0
data/dataset_filtered\Apple__Rotten\translation_Screen_Shot_2018-06-07_at_2.45.44_PM.png,Apple__Rotten,1
data/dataset_filtered\Corn___Healthy\image_(590).jpg,Corn___Healthy,8
data/dataset_filtered\Rice___Neck_Blast\IMG20201109211041_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Orange__Healthy\rotated_by_30_Screen_Shot_2018-06-13_at_12.07.39_AM.png,Orange__Healthy,17
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\075ab58c-8001-4e5e-a9d2-5dbf218ee100___YLCV_NREC_2052.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Tomato_Early_blight\f4d4fe0b-d711-4a2c-b331-213787eda9b0___RS_Erly.B_6665.jpg,Tomato_Early_blight,35
data/dataset_filtered\Tomato__healthy\2a99d5af-218f-4332-a8ce-505301abdbfe___RS_HL_9693.jpg,Tomato__healthy,42
data/dataset_filtered\Mango__healthy\265.jpg,Mango__healthy,16
data/dataset_filtered\Tomato__septoria_leaf_spot\17e3282e-f327-4245-95b1-a4fee7b33838___Matt.S_CG_2619.jpg,Tomato__septoria_leaf_spot,44
data/dataset_filtered\Rice___Neck_Blast\IMG20201109210738_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Strawberry__Rotten\877.jpg,Strawberry__Rotten,31
data/dataset_filtered\Mango__Rotten\rottenMango_(42).jpg,Mango__Rotten,15
data/dataset_filtered\Peach__bacterial_spot\764f51ba-fdae-482b-a8cc-8d3794e4b02f___Rut._Bact.S_1499.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Potato___Late_Blight\e231f522-dd72-4fbd-94b4-5b4d7b935269___RS_LB_4131.jpg,Potato___Late_Blight,24
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\7bc2321e-e0e8-4eb0-ad9b-3bfee62d3c7d___YLCV_GCREC_2638.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Mango__healthy\475.jpg,Mango__healthy,16
data/dataset_filtered\Grape__black_measles\17c6b47a-d03e-4b80-9a35-0db97d82357d___FAM_B.Msls_4204.jpg,Grape__black_measles,11
data/dataset_filtered\Tomato_Early_blight\d41e78aa-0020-457b-a17d-736d426adad5___RS_Erly.B_7755.jpg,Tomato_Early_blight,35
data/dataset_filtered\Tomato_Bacterial_spot\ccfdfe87-72ec-4b17-bd86-9f0bb242dfd5___GCREC_Bact.Sp_3367.jpg,Tomato_Bacterial_spot,34
data/dataset_filtered\Orange__Healthy\rotated_by_15_Screen_Shot_2018-06-12_at_11.59.48_PM.png,Orange__Healthy,17
data/dataset_filtered\Grape__black_rot\grape_black_rot10255.jpg,Grape__black_rot,12
data/dataset_filtered\Tomato_Early_blight\4490b039-427d-414c-836d-a1fda6c1ad49___RS_Erly.B_8369.jpg,Tomato_Early_blight,35
data/dataset_filtered\Grape__healthy\f72e0604-9654-48b4-b153-2e92383970ce___Mt.N.V_HL_8979.jpg,Grape__healthy,13
data/dataset_filtered\Tomato__target_spot\20ac4321-f374-48d4-89c8-ef09f35f1271___Com.G_TgS_FL_8145.jpg,Tomato__target_spot,45
data/dataset_filtered\Apple__Healthy\freshApple_(271).jpg,Apple__Healthy,0
data/dataset_filtered\Strawberry__healthy\1345a880-f629-49ea-8524-234770fe3cc6___RS_HL_4529.jpg,Strawberry__healthy,33
data/dataset_filtered\Apple__scab\9cbb6419-1670-45d5-a8ad-90cf9eaac971___FREC_Scab_3075.jpg,Apple__scab,2
data/dataset_filtered\Potato___Early_blight\811eba3a-112e-43dd-8b22-57f3cde4c504___RS_Early.B_7983.jpg,Potato___Early_blight,23
data/dataset_filtered\Strawberry__healthy\bbd6eeef-95ad-4277-85a4-243de6d117d6___RS_HL_4518.jpg,Strawberry__healthy,33
data/dataset_filtered\Apple__Healthy\d5c866b2-7eb2-421a-a42a-906308cbffb2___RS_HL_6116.jpg,Apple__Healthy,0
data/dataset_filtered\Apple__Healthy\f549a038-8cff-43b5-814c-70ecbfc2476a___RS_HL_6044.jpg,Apple__Healthy,0
data/dataset_filtered\Apple__scab\fb942296-ba33-40e5-ada0-6700365cf71d___FREC_Scab_2919.jpg,Apple__scab,2
data/dataset_filtered\Rice___Healthy\IMG_20190419_171016.jpg,Rice___Healthy,25
data/dataset_filtered\Potato___Early_blight\1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B_8303.jpg,Potato___Early_blight,23
data/dataset_filtered\Corn___Common_Rust\image_(449).jpg,Corn___Common_Rust,7
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust1053.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Potato___Late_Blight\3362decd-b0d5-4cc6-81f8-3c051a285875___RS_LB_4109.jpg,Potato___Late_Blight,24
data/dataset_filtered\Orange__Healthy\translation_Screen_Shot_2018-06-13_at_12.09.43_AM.png,Orange__Healthy,17
data/dataset_filtered\Wheat___Brown_Rust\Brown_rust279.jpg,Wheat___Brown_Rust,47
data/dataset_filtered\Potato___Late_Blight\a896e0bb-67a4-4762-b74a-1c58b14622b0___RS_LB_5013.jpg,Potato___Late_Blight,24
data/dataset_filtered\Tomato__bacterial_spot\5849b4f9-da0f-46fc-9671-fafef05c921b___UF.GRC_BS_Lab_Leaf_9276.jpg,Tomato__bacterial_spot,41
data/dataset_filtered\Mango__Rotten\382.jpg,Mango__Rotten,15
data/dataset_filtered\Corn___Northern_Leaf_Blight\image_(342).jpg,Corn___Northern_Leaf_Blight,9
data/dataset_filtered\Strawberry__healthy\457.jpg,Strawberry__healthy,33
data/dataset_filtered\Rice___Healthy\IMG_20190424_133817.jpg,Rice___Healthy,25
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust529.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\3861fe05-3c70-4ca0-9729-30cbf67e475a___Com.G_SpM_FL_1564.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Pepper__bell___Bacterial_spot\c94ae9a2-f5b0-4da4-9bd1-c66ef5b0ad74___JR_B.Spot_3167.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Apple__Rotten\vertical_flip_Screen_Shot_2018-06-07_at_2.17.25_PM.png,Apple__Rotten,1
data/dataset_filtered\Tomato__bacterial_spot\c3fbdba4-a285-463b-a3fd-26d0d4a4d936___GCREC_Bact.Sp_3677.jpg,Tomato__bacterial_spot,41
data/dataset_filtered\Tomato__healthy\freshTomato_(298).png,Tomato__healthy,42
data/dataset_filtered\Corn___Northern_Leaf_Blight\image_(237).jpg,Corn___Northern_Leaf_Blight,9
data/dataset_filtered\Corn___Common_Rust\image_(1077).jpg,Corn___Common_Rust,7
data/dataset_filtered\Banana__Healthy\rotated_by_30_Screen_Shot_2018-06-12_at_9.39.28_PM.png,Banana__Healthy,3
data/dataset_filtered\Potato___Early_blight\dcdcc724-b029-4987-9d12-ccc8893ac6b4___RS_Early.B_8387.jpg,Potato___Early_blight,23
data/dataset_filtered\Orange__Rotten\saltandpepper_Screen_Shot_2018-06-12_at_11.33.00_PM.png,Orange__Rotten,18
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(1319).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Tomato__healthy\freshTomato_(24).jpg,Tomato__healthy,42
data/dataset_filtered\Orange__Healthy\rotated_by_60_Screen_Shot_2018-06-12_at_11.57.45_PM.png,Orange__Healthy,17
data/dataset_filtered\Tomato_Bacterial_spot\98a33963-bf05-4c93-a217-045c06047616___GCREC_Bact.Sp_5985.jpg,Tomato_Bacterial_spot,34
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(1772).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Tomato__healthy\freshTomato_(177).png,Tomato__healthy,42
data/dataset_filtered\Tomato_Bacterial_spot\8e41531c-42e8-4a0d-b453-7aae50fdfe94___GCREC_Bact.Sp_3552.jpg,Tomato_Bacterial_spot,34
data/dataset_filtered\Pepper__bell___Bacterial_spot\514076ce-e366-4b68-a736-9346cd9a5f61___NREC_B.Spot_9190.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(1550).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Potato___Late_Blight\3a0033d6-2efc-4926-a9eb-3969d815d630___RS_LB_5144.jpg,Potato___Late_Blight,24
data/dataset_filtered\Potato__Healthy\f66af6c0-6fc6-4020-b1de-a73685d497c2___RS_HL_4181.jpg,Potato__Healthy,22
data/dataset_filtered\Wheat___Brown_Rust\Brown_rust936.jpg,Wheat___Brown_Rust,47
data/dataset_filtered\Tomato_Leaf_Mold\624b9411-3aef-4d0e-a62a-f7feb5fad021___Crnl_L.Mold_6881.jpg,Tomato_Leaf_Mold,37
data/dataset_filtered\Tomato__healthy\ac022a2b-764c-4507-8dd9-4470b75763e4___RS_HL_9937.jpg,Tomato__healthy,42
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\3c38f310-2589-4061-97a4-59093268911b___YLCV_GCREC_2318.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Orange__Healthy\rotated_by_60_Screen_Shot_2018-06-12_at_11.58.50_PM.png,Orange__Healthy,17
data/dataset_filtered\Soybean__healthy\7516d7b9-d622-44b4-bc93-8afdb9dde319___RS_HL_4758.jpg,Soybean__healthy,30
data/dataset_filtered\Soybean__healthy\304a7521-c586-4f11-b13f-71fbc350039f___RS_HL_6620.jpg,Soybean__healthy,30
data/dataset_filtered\Potato__Healthy\freshPotato_(11).jpg,Potato__Healthy,22
data/dataset_filtered\Cherry__healthy\27e87eee-b10f-4eee-a4fe-3f30561636d0___JR_HL_9577.jpg,Cherry__healthy,5
data/dataset_filtered\Rice___Healthy\IMG_20190419_163200.jpg,Rice___Healthy,25
data/dataset_filtered\Cherry__powdery_mildew\47fcda65-b8ab-458d-9d5a-734ef9fb2aca___FREC_Pwd.M_0455.jpg,Cherry__powdery_mildew,6
